"('SS Iyer', 'Mohammed Siraj')","[0, 2, 0, 0, 1, 0, 0, 0]"
"('RG Sharma', 'A Choudhary')","[1, 3, 0, 0, 2, 0, 0, 0]"
"('M Vohra', 'Ankit Sharma')","[3, 3, 3, 0, 0, 0, 0, 1]"
"('KP Pietersen', 'KJ Abbott')","[1, 0, 0, 0, 0, 0, 0, 1]"
"('YK Pathan', 'Azhar Mahmood')","[1, 3, 0, 0, 0, 0, 0, 1]"
"('Basil Thampi', 'Sandeep Sharma')","[0, 3, 1, 0, 1, 0, 0, 0]"
"('M Vijay', 'S Ladda')","[3, 3, 1, 0, 1, 0, 0, 0]"
"('P Negi', 'Iqbal Abdulla')","[0, 1, 0, 0, 0, 0, 0, 0]"
"('RV Uthappa', 'A Symonds')","[2, 5, 1, 0, 0, 0, 1, 1]"
"('V Kohli', 'RA Jadeja')","[31, 48, 12, 0, 5, 0, 2, 2]"
"('MC Henriques', 'JJ Bumrah')","[4, 5, 1, 0, 1, 0, 0, 1]"
"('CH Gayle', 'S Badree')","[6, 4, 0, 0, 0, 0, 1, 0]"
"('Y Venugopal Rao', 'DT Christian')","[5, 4, 0, 0, 0, 0, 0, 0]"
"('AC Gilchrist', 'JA Morkel')","[20, 5, 1, 0, 7, 0, 2, 3]"
"('RG Sharma', 'JA Morkel')","[9, 10, 1, 0, 1, 0, 0, 3]"
"('M Vohra', 'MJ McClenaghan')","[0, 3, 0, 0, 0, 0, 0, 0]"
"('L Balaji', 'SP Narine')","[2, 0, 0, 0, 0, 0, 0, 1]"
"('RG Sharma', 'AC Thomas')","[0, 3, 0, 0, 0, 0, 0, 0]"
"('PA Patel', 'M Muralitharan')","[3, 4, 2, 0, 1, 0, 0, 1]"
"('ST Jayasuriya', 'JA Morkel')","[13, 2, 1, 0, 4, 0, 5, 0]"
"('EJG Morgan', 'Parvez Rasool')","[3, 6, 2, 0, 1, 0, 0, 0]"
"('Abdur Razzak', 'Sohail Tanvir')","[2, 0, 0, 0, 0, 0, 0, 0]"
"('VY Mahesh', 'LR Shukla')","[3, 1, 0, 0, 0, 0, 0, 1]"
"('RS Bopara', 'PP Ojha')","[1, 4, 0, 1, 1, 0, 0, 0]"
"('AJ Finch', 'KK Cooper')","[11, 6, 1, 0, 2, 0, 1, 1]"
"('LRPL Taylor', 'S Nadeem')","[0, 1, 2, 0, 0, 0, 0, 0]"
"('DA Warner', 'D Wiese')","[1, 3, 0, 0, 2, 0, 0, 0]"
"('LRPL Taylor', 'SM Pollock')","[0, 2, 0, 0, 0, 0, 0, 0]"
"('AD Nath', 'JJ Bumrah')","[1, 1, 1, 0, 0, 0, 0, 0]"
"('P Negi', 'BA Stokes')","[1, 0, 0, 0, 0, 0, 0, 0]"
"('KA Pollard', 'R Bhatia')","[6, 12, 0, 0, 3, 0, 1, 2]"
