DR Smith,SW Tait,2,6,3,0,3,0,0,0
SR Tendulkar,SR Watson,15,9,0,0,5,0,0,0
SR Tendulkar,GB Hogg,5,4,2,1,2,0,0,0
DR Smith,GB Hogg,5,6,0,0,2,0,0,0
SR Tendulkar,SK Trivedi,14,25,4,0,3,0,2,1
DR Smith,SK Trivedi,15,14,4,0,3,1,1,0
SR Tendulkar,STR Binny,0,2,0,0,1,0,0,0
DR Smith,STR Binny,5,5,1,0,2,0,1,2
V Sehwag,VS Malik,6,0,0,0,3,0,2,0
V Sehwag,JP Faulkner,3,0,0,0,3,0,0,2
WP Saha,R Tewatia,2,4,0,0,0,0,0,1
WP Saha,PV Tambe,1,3,0,0,2,0,0,0
WP Saha,KK Cooper,0,2,0,0,0,0,0,0
WP Saha,JP Faulkner,7,10,2,0,4,0,0,1
WP Saha,VS Malik,0,2,0,0,0,0,0,0
KK Nair,BE Hendricks,1,0,0,1,1,0,0,0
KK Nair,L Balaji,2,0,0,0,1,0,0,1
SR Watson,R Dhawan,3,1,0,0,0,0,1,1
STR Binny,R Dhawan,4,4,2,0,0,0,0,0
STR Binny,Karanveer Singh,3,5,0,0,1,0,0,1
R Tewatia,Karanveer Singh,0,2,2,0,0,0,0,0
R Tewatia,AR Patel,3,2,0,0,0,0,1,1
BJ Hodge,Karanveer Singh,4,1,0,0,0,0,0,0
BJ Hodge,L Balaji,6,10,2,0,0,0,3,0
R Tewatia,L Balaji,2,0,1,0,0,0,0,0
BJ Hodge,AR Patel,1,2,1,0,0,0,0,0
JP Faulkner,AR Patel,11,9,2,0,0,0,1,0
BJ Hodge,BE Hendricks,1,0,1,0,2,0,2,0
KK Cooper,AR Patel,1,0,1,0,0,0,0,1
JP Faulkner,L Balaji,0,4,0,0,1,0,2,0
VS Malik,L Balaji,1,0,0,0,0,0,0,0
JP Faulkner,BE Hendricks,2,1,0,0,0,0,2,0
VS Malik,BE Hendricks,0,1,0,0,0,0,0,0
SP Goswami,IK Pathan,7,5,0,0,1,0,0,0
SP Goswami,M Morkel,7,3,0,0,3,0,0,0
JH Kallis,M Morkel,13,8,0,0,8,0,0,1
G Gambhir,IK Pathan,28,10,4,0,12,0,1,2
G Gambhir,UT Yadav,6,7,1,0,4,0,1,0
SP Goswami,UT Yadav,2,5,1,0,0,0,0,0
SP Goswami,AB Agarkar,5,3,1,0,3,0,0,1
MK Tiwary,AB Agarkar,4,7,1,1,1,0,1,1
G Gambhir,AB Agarkar,8,12,1,0,1,0,0,0
MK Tiwary,UT Yadav,13,5,3,0,2,0,1,0
MK Tiwary,JR Hopes,4,9,1,0,0,0,0,0
G Gambhir,JR Hopes,3,1,1,0,0,0,0,1
MK Tiwary,M Morkel,12,4,1,0,2,0,1,4
YK Pathan,M Morkel,7,5,4,0,0,0,2,1
YK Pathan,JR Hopes,3,4,0,0,3,0,0,1
YK Pathan,UT Yadav,11,9,0,0,3,0,0,2
EJG Morgan,UT Yadav,7,4,2,0,0,0,0,2
